# Generated Thu, 05 Sep 2013 15:30:29 +0200 by ./mm10_transcript_positions_create.php
# Transcriptome alignment to the genome taken from /home/ifokkema/tmp/ele/RefseqFASTA_mapped-to-genome_maxpath_2.sam.
# Transcript	Reason_for_failure
NM_001001177.2	bad_alignment:D
NM_001001327.1	bad_alignment:D
NM_001004145.2	chimeric
NM_001005477.1	bad_alignment:IIIDDD
NM_001005780.1	bad_alignment:I
NM_001007552.1	bad_alignment:I
NM_001012623.1	bad_alignment:DIDDID
NM_001012624.1	bad_alignment:DIDDID
NM_001012625.1	bad_alignment:DIDDID
NM_001013802.3	bad_alignment:IDDDD
NM_001013804.1	chimeric
NM_001013817.2	weird_alignment:chr1_GL456221_random
NM_001013820.3	bad_alignment:D
NM_001013828.2	chimeric
NM_001014394.2	bad_alignment:D
NM_001024478.1	bad_alignment:D
NM_001025208.1	bad_alignment:I
NM_001030293.2	weird_alignment:chrX_GL456233_random
NM_001031622.2	weird_alignment:chr5_JH584299_random
NM_001033163.3	bad_alignment:IDD
NM_001033326.2	weird_alignment:chr4_GL456216_random
NM_001033330.2	bad_alignment:DID
NM_001033460.3	bad_alignment:I
NM_001033764.3	bad_alignment:D
NM_001033795.4	bad_alignment:DII
NM_001033875.2	bad_alignment:I
NM_001033980.2	bad_alignment:I
NM_001034013.2	bad_alignment:DII
NM_001034899.3	bad_alignment:DI
NM_001035239.2	bad_alignment:IIDDI
NM_001035240.2	bad_alignment:IIDDI
NM_001035241.2	bad_alignment:IIDDI
NM_001035242.1	bad_alignment:IIDDI
NM_001035243.2	bad_alignment:IIDDI
NM_001037716.2	bad_alignment:D
NM_001039073.2	bad_alignment:D
NM_001039074.2	bad_alignment:D
NM_001039241.2	chimeric
NM_001039688.3	bad_alignment:DD
NM_001039941.2	bad_alignment:I
NM_001039942.2	bad_alignment:D
NM_001039943.2	bad_alignment:I
NM_001039944.2	bad_alignment:I
NM_001040395.3	bad_alignment:D
NM_001047435.1	bad_alignment:D
NM_001047436.1	bad_alignment:D
NM_001076554.2	bad_alignment:D
NM_001076791.2	bad_alignment:ID
NM_001077507.1	bad_alignment:D
NM_001077510.2	bad_alignment:D
NM_001078649.1	bad_alignment:D
NM_001079690.1	bad_alignment:I
NM_001080126.1	bad_alignment:DI
NM_001081177.1	bad_alignment:I
NM_001081258.1	bad_alignment:ID
NM_001081276.1	bad_alignment:I
NM_001081317.1	bad_alignment:D
NM_001081340.2	bad_alignment:D
NM_001081346.1	bad_alignment:I
NM_001081357.1	bad_alignment:I
NM_001081361.1	bad_alignment:I
NM_001081490.1	bad_alignment:I
NM_001081684.1	bad_alignment:I
NM_001081685.1	bad_alignment:I
NM_001082531.1	bad_alignment:D
NM_001083188.1	bad_alignment:D
NM_001083918.1	bad_alignment:D
NM_001083927.1	bad_alignment:I
NM_001083928.1	bad_alignment:I
NM_001085385.1	bad_alignment:D
NM_001085410.1	bad_alignment:D
NM_001085522.2	bad_alignment:I
NM_001093764.1	bad_alignment:D
NM_001093765.1	bad_alignment:D
NM_001093766.1	bad_alignment:D
NM_001097623.1	bad_alignment:D
